date,user,name,text,retweet,favorite,location
2021-08-14 23:02:04,VDFromAToZ,"Abbie's fully vaccinated, & feeling a LOT better.","🥂 Here's to all the Dumb (&amp; even dumber!) Dumb-Dumbs out there! 🍻
(⚰️ Oh, we're NOT raising out glasses to your… https://t.co/jxJQWVl5iH",0,0,"'neath Canada, USA's BFF! "
2021-08-14 23:02:03,irony_is_ded,Tom,"@davidlehmann09 @Suzy1776 No vaccine is 100 percent effective. You know this. This a a troll question. 

It's amazi… https://t.co/qUiVmAG2m3",0,0,Behind the 🍊 Curtain
2021-08-14 23:02:03,denvernewsnow,Denver News Now,Colorado Doctor Explains Who’s Most Likely To Benefit From Another COVID Vaccine Dose https://t.co/CMZDvbXQs6,0,0,"Denver, Colorado 80202"
2021-08-14 23:02:02,unemploymentguy,Roger Baker,Summa Health requires employees to receive the COVID-19 vaccine https://t.co/83BjVdNmLE,0,0,
2021-08-14 23:02:02,Bettyannrarhb,Bettyann,@NAChristakis Triage is need vs. survivibility. Not whether or not you have had the vaccine.,0,0,"Mississippi, USA"
2021-08-14 23:02:00,PhilJenkins_,Phil Jenkins,Almost as predictable as the last dying breath “I wish i’d had the vaccine” stories https://t.co/SKrm2v8lwL,0,0,Hampshire & London
2021-08-14 23:02:00,grlacrossstreet,Beckyy,@MarkMeadows Well hire more Mark Meadows.  Instead of twll us your B.S.  you people should be working with Kie Bide… https://t.co/2y6BzOxuu2,0,0,
2021-08-14 23:02:00,PreviewNow,PREVIEW,A Houston restaurant owner says he was brainwashed into not trusting the vaccine. Then he got COVID. @reporterjulie… https://t.co/W8xYdsemmM,0,0,"Houston, TX"
2021-08-14 23:02:00,VickValecek,Vick Váleček,@tinkeringhalo10 @CDMenefee 1) The vaccine is not “gene therapy”. 2) This was about mandating masks. 3) The state D… https://t.co/XyVvpIM2uC,0,0,
2021-08-14 23:02:00,thevocaljrnl,thevocaljrnl,"You taking drugs that coming from God knows where, but the vaccine is where you cross the line?",0,0,"Texas, USA"
2021-08-14 23:02:00,OriginalJLP,Jon Ott,"Nurses should not be having to deal with another intense round of COVID-19 patients. We have a vaccine, we know how… https://t.co/uDRC9QuK6X",0,0,United States
2021-08-14 23:01:59,SimRelic,Pete Sim,"@TViewfromhere @GVendacopy @YourLifesIdjits @CBCNews True in Canada, not so much in Israel and Iceland, countries t… https://t.co/yPpw2JXpAz",0,0,"British Columbia, Canada"
2021-08-14 23:01:59,npeters92,Naomi Peters,How a pop-up vaccine hub in Lakemba is trying to boost vaccination rates in Sydney's COVID hot spots https://t.co/2cDWgve0n9,0,0,"Dhudhuroa country, NE Victoria"
2021-08-14 23:01:59,WolfishHead,Wolfish ☨,"For example, Mormons are not exempt from the COVID ""vaccine"" mandates (even if they were exempt from other vaccines… https://t.co/jJYrrlPnO6",0,0,https://wolfish.neocities.org/
2021-08-14 23:01:57,james053010,James053010,"I believe, your body your choice. 100%. Since the vaccine is Not FDA approved, why can’t I have an opinion, then vo… https://t.co/neOiYn15Yt",0,0,
2021-08-14 23:01:57,readmytulips14,readmytulips14,My 9 year old grandson got in the Moderna trial and received his shot a few days ago. Hope he got the vaccine since… https://t.co/nRPSBbUZ8q,0,0,United States
2021-08-14 23:01:57,moretortellinis,Tori,"@GVDBossche Dr. Bossche, there is still relevant information about long-term vaccine effects that we don't have due… https://t.co/lZuB2Dk9VZ",0,0,"Washington, DC"
2021-08-14 23:01:56,cantstopstackin,THE BIG STEPPER,This what the Johnson&amp;Johnson vaccine made of https://t.co/CsQM2BAuSi,0,0,"Baton Rouge, LA"
2021-08-14 23:01:55,SandraJNowakow1,Dr. Sandra,How to get vaccine record on your phone.... https://t.co/TlMxwfb52D,0,0,
2021-08-14 23:01:55,megalewisX,Louis Gagnon,"@BasicMountain @fireshoes @OCMMtG Highroll 1 dice per vaccine shots, +2 bonus for mask",0,0,"laval,Qc"
2021-08-14 23:01:54,xt52017black,Amazing Grace 💫🇺🇸🤍💙,"Protesting vaccine passports for cafés and restaurants, French protesters create a feast in the streets https://t.co/0YOqFhloDS",1,4,Some where out there
2021-08-14 23:01:54,peanutsmom04,Alicia 🦙🐻🍷,@WorkEvader @michaelschwab13 Why does he have to be a no vax shithead?  You do realize people who got the vaccine a… https://t.co/VK6IRqHBEc,0,0,"Houston, TX"
2021-08-14 23:01:53,MacPhang,Len MacPhang,@ListenSport @australian @SkyNewsAust Kelly blatantly misrepresented Premier McGowan regarding WA vaccination rates… https://t.co/PVp9IctDua,0,0,Australia
2021-08-14 23:01:53,bugs670,bugs,@HollieMac68 @VolumePrintcess she doesn't understand it- she thinks vaccine prevents people from getting the virus,0,0,
2021-08-14 23:01:52,kylemccarthy_10,Kyle McCarthy,@rakitoon @StoodWe @MuskokaCoach18 It doesn’t stop transmission lol you’ve theoretically saved yourself from hospit… https://t.co/OpRyfoOjh6,0,0,"Ontario, Canada"
2021-08-14 23:01:51,sandycreekmill,JD Price,@TomahawkVPhD @20manDan @BlainEillimatta @Alex_on_A14 @daninphx @films_virus @KStateTurk @mcfunny @Chris_F_Carson… https://t.co/qFj392eHuY,0,0,
2021-08-14 23:01:51,KathryneGayle,Kathryne,"@BosCityFAN Absolutely, because once you get COVID, it’s too late for the vaccine. Unless you are lucky enough to s… https://t.co/znGwnZccMZ",0,0,New Hampshire
2021-08-14 23:01:51,UnHedgedChatter,UnHedgedChatter,"""A policy has not been set."" [House view: WFH is definitely lasting until 2022 in the US.] https://t.co/GIy2QyjOEc",0,0,British Virgin Islands
2021-08-14 23:01:50,EritasRed,Unknowable,"the mansions where, how shall I put it, your typical Gombeen would park his sorry arse, to stick with an Irish expr… https://t.co/lFwfYyvS2m",0,0,
2021-08-14 23:01:50,JudahMoscato,Ju₫ah Mo$cato,@King_DREAMER @iamphilippezer @bamfsoul @Trackside_ENT @LupeFiasco I never once told or said dont get the vaccine t… https://t.co/zQaFdksQpb,0,0,"Orange, NJ"
2021-08-14 23:01:50,thee_court,BamBam,"I took my first vaccine for Covid-19 today. 

Don’t come ova here with no mess. I’m good.",0,0,In my bed
2021-08-14 23:01:50,ellfosho,big ell,Roughly 1/4th of black Americans have been vaccinated. How Jim Crow will it be when they start getting turned away… https://t.co/7qxNS6afMH,0,0,"San Antonio, TX"
2021-08-14 23:01:49,dustin_romero_,dustin,Just got my vaccine I can lift cars now,0,0,
2021-08-14 23:01:48,JasonMB,JasonMB,"so of course now im worried AND spent half of my haircut explaining what happened when i got the vaccine. 

SO gues… https://t.co/zWUVi336vn",0,0,"Austin, TX"
2021-08-14 23:01:48,BMDaily1,Black Media Daily,Washington state promotes 3rd vaccine dose for ‘vulnerable’ https://t.co/bbWlm3Z1YY,0,0,
2021-08-14 23:01:47,aspelina88,Future Nurse Espinoza (she/her),@tony_breu @brianchiong I know there was some promising research being done on BCG vaccine therapy in regards to Ty… https://t.co/U8L6lHYyLE,0,0,"Tempe,Az"
2021-08-14 23:01:47,ABC7,ABC7 Eyewitness News,"Father, son from Pacific Palisades arrested for allegedly trying to use fake vaccine cards in Hawaii https://t.co/Bn02yfwTZT",1,3,
2021-08-14 23:01:46,HammertimeJo,BIG JOE JOE,@washingtonpost There is only one way I ever get the vaccine.  If the second I get it I’m not required to do any mo… https://t.co/XofC6NPdEa,0,0,"Washington, DC, Police state "
2021-08-14 23:01:46,giandujakiss,gianduja kiss,"""'This is the hill to die on,' she said.""

Wish granted.

https://t.co/RDf72eqXQX",0,0,
2021-08-14 23:01:46,ElmerThoughts,Elmer is always tired.🦉,@IphoneComunist @ZubyMusic You gain immunity from specific strains of the flu and cold viruses. I've had COVID-19 a… https://t.co/k1HwPWhorz,0,0,"Geneva, IN"
2021-08-14 23:01:46,karl_oz8,Karl,"@QuentinFry When Andrews is locking Melbourne down early next year (lockdown 13), despite everyone having access to… https://t.co/W40c65kCAi",0,1,
